[2025/11/26 11:58:20.154604][ERROR][NL] [2147489447] ADD: Interface  vlan2053(20059), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.034827][DEBUG][NL] [2147489447] ADD: Interface  vlan2086(20092), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.038155][DEBUG][NL] [2147489447] ADD: Interface  vlan2087(20093), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.041388][DEBUG][NL] [2147489447] ADD: Interface  vlan2088(20094), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.044712][DEBUG][NL] [2147489447] ADD: Interface  vlan2089(20095), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.047947][DEBUG][NL] [2147489447] ADD: Interface  vlan2090(20096), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.051127][DEBUG][NL] [2147489447] ADD: Interface  vlan2091(20097), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.054436][DEBUG][NL] [2147489447] ADD: Interface  vlan2092(20098), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.057743][DEBUG][NL] [2147489447] ADD: Interface  vlan2093(20099), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.060929][DEBUG][NL] [2147489447] ADD: Interface  vlan2094(20100), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.064153][DEBUG][NL] [2147489447] ADD: Interface  vlan2095(20101), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.067329][DEBUG][NL] [2147489447] ADD: Interface  vlan2096(20102), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.070615][DEBUG][NL] [2147489447] ADD: Interface  vlan2097(20103), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.073911][DEBUG][NL] [2147489447] ADD: Interface  vlan2098(20104), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.077237][DEBUG][NL] [2147489447] ADD: Interface  vlan2099(20105), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.080400][DEBUG][NL] [2147489447] ADD: Interface  vlan2100(20106), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.083504][DEBUG][NL] [2147489447] ADD: Interface  vlan2101(20107), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.086861][DEBUG][NL] [2147489447] ADD: Interface  vlan2102(20108), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.090087][DEBUG][NL] [2147489447] ADD: Interface  vlan2103(20109), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.093297][DEBUG][NL] [2147489447] ADD: Interface  vlan2104(20110), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.096505][DEBUG][NL] [2147489447] ADD: Interface  vlan2105(20111), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.099687][DEBUG][NL] [2147489447] ADD: Interface  vlan2106(20112), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.102949][DEBUG][NL] [2147489447] ADD: Interface  vlan2107(20113), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.106266][DEBUG][NL] [2147489447] ADD: Interface  vlan2108(20114), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.109581][DEBUG][NL] [2147489447] ADD: Interface  vlan2109(20115), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.112924][DEBUG][NL] [2147489447] ADD: Interface  vlan2110(20116), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.115205][DEBUG][NL] [2147489447] ADD: Interface  vlan2111(20117), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.117407][DEBUG][NL] [2147489447] ADD: Interface  vlan2112(20118), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.119638][DEBUG][NL] [2147489447] ADD: Interface  vlan2113(20119), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.122049][DEBUG][NL] [2147489447] ADD: Interface  vlan2114(20120), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.124282][DEBUG][NL] [2147489447] ADD: Interface  vlan2115(20121), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.126504][DEBUG][NL] [2147489447] ADD: Interface  vlan2116(20122), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.128924][DEBUG][NL] [2147489447] ADD: Interface  vlan2117(20123), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.131181][DEBUG][NL] [2147489447] ADD: Interface  vlan2118(20124), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.133386][DEBUG][NL] [2147489447] ADD: Interface  vlan2119(20125), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.135624][DEBUG][NL] [2147489447] ADD: Interface  vlan2120(20126), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.137870][DEBUG][NL] [2147489447] ADD: Interface  vlan2121(20127), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.140069][DEBUG][NL] [2147489447] ADD: Interface  vlan2122(20128), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.142294][DEBUG][NL] [2147489447] ADD: Interface  vlan2123(20129), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.144623][DEBUG][NL] [2147489447] ADD: Interface  vlan2124(20130), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.146724][DEBUG][NL] [2147489447] ADD: Interface  vlan2125(20131), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:22.072250][DEBUG][NL] [2147489447] ADD: Interface  swp6s1(1035), flags 0x11843(0x0), MTU 9214, master 20006, table 0
